# Generated: 2026-07-20T17:40:55.309515
# Sample: sample3
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 18476
	sample	region_annotation	leiden_0_6	leiden_0_8
3106	sample3	Region 2	6	8
3109	sample3	Region 2	6	8
3113	sample3	Region 2	6	8
3117	sample3	Region 2	6	8
3118	sample3	Region 2	6	8
3121	sample3	Region 2	6	8
3123	sample3	Region 2	6	8
3126	sample3	Region 2	6	8
3135	sample3	Region 2	6	8
3136	sample3	Region 2	6	8
3140	sample3	Region 2	6	8
3141	sample3	Region 2	6	8
3146	sample3	Region 2	6	8
3147	sample3	Region 2	6	8
3148	sample3	Region 2	6	8
3153	sample3	Region 2	6	8
3155	sample3	Region 2	6	8
3156	sample3	Region 2	6	8
3160	sample3	Region 2	6	8
3162	sample3	Region 2	6	8
3163	sample3	Region 2	6	8
3168	sample3	Region 2	6	8
3170	sample3	Region 2	6	8
3171	sample3	Region 2	6	8
3172	sample3	Region 2	6	8
3189	sample3	Region 2	6	8
3211	sample3	Region 2	6	8
3213	sample3	Region 2	6	8
3218	sample3	Region 2	6	8
3219	sample3	Region 2	6	8
3220	sample3	Region 2	6	8
3221	sample3	Region 2	6	8
3227	sample3	Region 2	6	8
3232	sample3	Region 2	6	8
3244	sample3	Region 4	0	2
3245	sample3	Region 4	1	3
3246	sample3	Region 4	0	0
3247	sample3	Region 4	1	1
3251	sample3	Region 4	1	1
3253	sample3	Region 4	0	0
3255	sample3	Region 4	0	2
3256	sample3	Region 4	0	2
3266	sample3	Region 4	0	2
3270	sample3	Region 4	0	0
3273	sample3	Region 4	0	0
3276	sample3	Region 4	2	3
3277	sample3	Region 4	1	1
3281	sample3	Region 4	1	1
3282	sample3	Region 4	0	0
3284	sample3	Region 4	0	2
3286	sample3	Region 4	0	2
3288	sample3	Region 4	0	2
3296	sample3	Region 4	2	3
3302	sample3	Region 4	0	0
3303	sample3	Region 4	0	2
3305	sample3	Region 4	0	0
3308	sample3	Region 4	0	0
3310	sample3	Region 4	0	0
3311	sample3	Region 4	0	0
3314	sample3	Region 4	1	1
3320	sample3	Region 4	0	2
3325	sample3	Region 4	0	0
3327	sample3	Region 4	0	2
3329	sample3	Region 4	0	2
3341	sample3	Region 4	1	1
3342	sample3	Region 4	0	0
3348	sample3	Region 4	0	0
3351	sample3	Region 4	0	0
3353	sample3	Region 4	0	2
3357	sample3	Region 4	0	2
3358	sample3	Region 4	1	1
3360	sample3	Region 4	0	2
3362	sample3	Region 4	0	0
3365	sample3	Region 4	0	2
3366	sample3	Region 4	0	2
3367	sample3	Region 4	0	0
3368	sample3	Region 4	0	2
3369	sample3	Region 4	0	0
3372	sample3	Region 4	0	0
3380	sample3	Region 4	1	1
3382	sample3	Region 4	0	0
3384	sample3	Region 4	0	2
3387	sample3	Region 4	0	2
3388	sample3	Region 4	0	2
3391	sample3	Region 4	0	0
3393	sample3	Region 4	0	2
3395	sample3	Region 4	0	2
3403	sample3	Region 4	0	0
3407	sample3	Region 4	0	2
3408	sample3	Region 4	0	0
3409	sample3	Region 4	0	0
3411	sample3	Region 4	0	2
3413	sample3	Region 4	0	2
3414	sample3	Region 4	0	0
3415	sample3	Region 4	0	0
3417	sample3	Region 4	1	1
3418	sample3	Region 4	0	0
3419	sample3	Region 4	0	0
3420	sample3	Region 4	1	1
3422	sample3	Region 4	0	0
3423	sample3	Region 4	0	0
3427	sample3	Region 4	0	9
3433	sample3	Region 4	1	2
3435	sample3	Region 4	0	0
3438	sample3	Region 4	0	0
3439	sample3	Region 4	0	0
3442	sample3	Region 4	0	0
3445	sample3	Region 4	0	9
3446	sample3	Region 4	0	0
3447	sample3	Region 4	0	2
3448	sample3	Region 4	0	2
3449	sample3	Region 4	0	2
3451	sample3	Region 4	0	2
3452	sample3	Region 4	0	0
3454	sample3	Region 4	1	1
3455	sample3	Region 4	0	0
3458	sample3	Region 4	1	1
3459	sample3	Region 4	1	1
3461	sample3	Region 4	0	0
3462	sample3	Region 4	0	0
3463	sample3	Region 4	0	2
3466	sample3	Region 4	0	0
3467	sample3	Region 4	0	2
3472	sample3	Region 4	0	0
3474	sample3	Region 4	0	0
3475	sample3	Region 4	1	1
3476	sample3	Region 4	0	2
3478	sample3	Region 4	0	2
3481	sample3	Region 4	1	1
3482	sample3	Region 4	0	2
3486	sample3	Region 4	0	2
3490	sample3	Region 4	0	0
3495	sample3	Region 4	1	1
3497	sample3	Region 4	0	2
3503	sample3	Region 4	1	1
3512	sample3	Region 4	0	2
3514	sample3	Region 4	0	0
3515	sample3	Region 4	0	0
3517	sample3	Region 4	0	0
3525	sample3	Region 4	0	0
3527	sample3	Region 4	2	3
3539	sample3	Region 4	0	0
3541	sample3	Region 4	0	0
3548	sample3	Region 4	1	1
3549	sample3	Region 4	4	5
3553	sample3	Region 4	0	2
3555	sample3	Region 4	0	2
3556	sample3	Region 4	0	2
3561	sample3	Region 4	0	2
3562	sample3	Region 4	0	0
3563	sample3	Region 4	0	2
3565	sample3	Region 4	0	2
3568	sample3	Region 4	0	0
3570	sample3	Region 4	0	0
3577	sample3	Region 4	0	0
3588	sample3	Region 4	0	2
3589	sample3	Region 4	1	1
3596	sample3	Region 4	0	2
3597	sample3	Region 4	0	2
3598	sample3	Region 4	1	1
3606	sample3	Region 4	0	0
3609	sample3	Region 4	1	1
3612	sample3	Region 4	0	2
3622	sample3	Region 4	0	2
3634	sample3	Region 4	0	0
3645	sample3	Region 4	0	2
3648	sample3	Region 4	0	2
3649	sample3	Region 4	0	2
3651	sample3	Region 4	0	2
3666	sample3	Region 4	0	2
3667	sample3	Region 4	1	1
3668	sample3	Region 4	0	2
3673	sample3	Region 4	0	0
3675	sample3	Region 4	0	0
3680	sample3	Region 4	0	0
3681	sample3	Region 4	0	0
3690	sample3	Region 4	1	2
3692	sample3	Region 4	0	0
3695	sample3	Region 4	0	0
3696	sample3	Region 4	0	1
3701	sample3	Region 4	1	1
3702	sample3	Region 4	1	1
3703	sample3	Region 4	1	1
3704	sample3	Region 4	2	6
3707	sample3	Region 4	0	1
3714	sample3	Region 4	1	1
3716	sample3	Region 4	0	2
3718	sample3	Region 4	1	1
3721	sample3	Region 4	1	6
3729	sample3	Region 4	0	2
3737	sample3	Region 4	0	2
3739	sample3	Region 4	3	4
3740	sample3	Region 4	0	0
3747	sample3	Region 4	0	2
3749	sample3	Region 4	0	2
3752	sample3	Region 4	0	0
3760	sample3	Region 4	0	2
3763	sample3	Region 4	2	3
3768	sample3	Region 4	1	2
3771	sample3	Region 4	0	2
3776	sample3	Region 4	0	0
3778	sample3	Region 4	1	1
3781	sample3	Region 4	0	0
3782	sample3	Region 4	0	6
3783	sample3	Region 4	1	1
3784	sample3	Region 4	0	0
3785	sample3	Region 4	0	2
3786	sample3	Region 4	0	0
3788	sample3	Region 4	0	0
3797	sample3	Region 4	0	2
3798	sample3	Region 4	0	2
3809	sample3	Region 4	0	2
3811	sample3	Region 4	0	2
3817	sample3	Region 4	0	0
3818	sample3	Region 4	0	0
3820	sample3	Region 4	0	0
3823	sample3	Region 4	0	0
